Activity,TS[3]_MN_F_AB_nCi_2_NS13_H_A_LGP[3-6]_e_MAS,GV[4]_GM_F_BB_nCi_2_SS12_P_LGP[1-7]_dc4_MAS,TS[5]_P2_F_AB_nCi_2_SS12_H_n_C_LGP[3-8]_ec_MAS,GV[4]_Q3_F_BB_nCi_2_SS15_H_T_LGP[3-8]_c_MAS,ES_I50_F_AB_nCi_2_NS8_n_T_LGP[2-6]_dc4_MAS,AC[1]_SD_F_AB_nCi_2_MP7_H_D_LGP[3-5]_psa_MAS,GV[2]_P3_F_AB_nCi_2_MP3_n_P_LGP[2-4]_m_MAS,TIC_F_AB_nCi_2_SS3_n_A_SRW_e_MAS,TS[5]_HM_F_BB_nCi_2_MP10_H_C_LGP[1-4]_hx_MAS,AC[2]_P3_F_BB_nCi_2_MP13_T_LGP[4]_dc2_MAS,GV[3]_V_F_AB_nCi_2_SS13_A_LGP[3]_p_MAS,AC[2]_MN_F_AB_nCi_2_NS7_n_P_LGP[3-8]_ku_MAS,TS[6]_Q3_F_BB_nCi_2_NS7_H_P_LGP[2-6]_dc2_MAS,TS[4]_I50_F_BB_nCi_2_SS10_T_LGP[4-6]_hx_MAS,GV[2]_Q1_F_AB_nCi_2_MP14_H_T_LGP[4-8]_psa_MAS,GV[2]_V_F_AB_nCi_2_SS14_n_X_LGP[1-3]_e_MAS,AC[6]_Q3_F_BB_nCi_2_SS5_H_A_LGP[2-3]_hx_MAS,GV[3]_N2_F_BB_nCi_2_SS11_X_LGP[4-7]_hx_MAS
6.11,31923.56,0,5.735238397,1.27E-05,58854.05739,6.12E-04,0,38.95754329,0.169111048,2.69E-04,0.146795443,0,0,0.331010594,5.22E-04,1.097662583,0.922180753,0.352079122
9,195805.04,0,6.742336934,2.98E-05,125825.51,1.94E-05,0,45.49134181,0.193202863,2.01E-04,0.230896706,0,0,0.349049215,3.79E-04,0.423217189,1.53162344,0.98231128
7.64,30832.56,0,6.859154342,9.46E-06,49777.86137,4.51E-05,0,20.08368796,0.233377147,2.75E-04,0.171963236,0,0,0.254453543,2.33E-04,0.294076459,0.133659741,0.198765441
7.31,30965.28,0,6.918005193,9.98E-06,48369.22822,2.99E-05,0,20.54961113,0.231426986,3.00E-04,0.166439261,0,0,0.162956323,1.97E-04,0.254696407,0.079028733,0.193884226
7.3,0,0.016735312,10.2706963,2.12E-05,50580.28944,1.59E-05,4.88E-05,32.98044999,0.09160993,2.02E-04,0.183209354,0,8702.75,0.35206771,3.60E-05,0.185919851,0.48682923,0.513293285
8.54,19311.36,0.014176557,15.18923339,2.00E-05,36459.89922,2.36E-05,3.19E-05,55.34141974,0.069374171,1.90E-04,0.455534304,0,1856.25,0.54189487,1.34E-05,0.41308663,0.697945548,0.599346893
8.52,0,0.005889116,11.43338775,2.09E-05,34814.59097,2.20E-05,4.80E-05,41.50080992,0.114215888,2.04E-04,0.448854227,0,9372,0.411540295,1.24E-05,0.227458118,0.363325615,0.645089794
8.92,0,0.011250266,10.36746893,2.01E-05,35428.19215,2.44E-05,4.85E-05,37.03775472,0.117790644,2.10E-04,0.348260389,0,9416.25,0.367256226,1.44E-05,0.217725852,0.499148554,0.518119104
8.92,0,0.004630614,12.4861563,2.10E-05,39388.87497,3.09E-05,4.39E-05,44.64278298,0.106922007,2.19E-04,0.410653997,0,5758.25,0.728116595,7.32E-06,0.206598636,0.449433639,1.069421819
8.96,0,0.019999512,10.30151643,1.66E-05,32106.48347,1.08E-05,8.23E-05,38.77395325,0.021840616,9.51E-05,0.254759117,0,13508.25,0.477457808,2.32E-06,0.18389946,0.409070463,0.403046551
8.55,30509.44,0.009609286,10.86102377,2.42E-05,35270.29474,8.16E-05,5.17E-05,43.15278265,0.116976369,1.94E-04,0.336847045,0,9537.75,0.458491443,2.74E-05,0.226677667,0.529051952,0.487543266
9.22,0,0.005874188,11.03261937,2.37E-05,43936.5596,2.19E-05,3.87E-05,37.94340066,0.120005899,2.09E-04,0.481909025,0,9372,0.417609941,2.93E-05,0.19253164,0.386653238,0.903484086
8,23797.12,0.071227862,8.641883632,4.42E-05,52204.22705,1.41E-05,2.73E-05,47.96089998,0.080978122,1.61E-04,0.039924273,0,11829.25,0.597391813,1.14E-05,0.129880731,0.42614631,1.245877141
8.11,23801.68,0.086190923,10.54743933,2.98E-05,50399.66941,1.42E-05,2.61E-05,50.87733186,0.0804383,1.38E-04,0.250201857,0,11300.79167,0.59139744,1.12E-05,0.157611861,0.484327282,1.003045401
7.92,24108.72,0.082410149,9.723297273,3.78E-05,47163.73692,4.21E-06,3.08E-05,41.5409856,0.074675546,8.33E-05,0.03958544,0,11730.875,0.537679909,9.23E-06,0.118093358,0.186994023,0.28967269
8.15,0,0.016603242,9.249486543,2.86E-05,60682.26629,5.15E-05,4.77E-05,38.55223172,0.095106653,1.91E-04,0.108838472,0,9287.5,0.644242158,2.93E-05,0.416959169,0.548634634,0.625976289
5.55,0,0,2.890286184,3.92E-05,16177.09201,1.54E-04,0,15.70950594,0.316884566,2.89E-04,0.055818165,0,0,0.182630381,0,0.262470278,0.409713721,0.148130883
6.07,0,0,4.063126259,1.81E-05,21866.55664,3.69E-04,0,18.40226335,0.298784891,2.91E-04,0.090982168,0,0,0.287567352,0,0.279149093,0.205220768,0.177833535
6.37,3553.2,0.043674033,4.597376372,3.75E-05,25976.79106,4.86E-05,9.75E-05,21.38115197,0.146157792,2.06E-04,0.027337206,88,10566.70833,0.49391605,3.17E-06,0.1641918,0.061291266,0.340711174
6.7,30811,0,5.80256616,1.82E-05,43589.47839,5.87E-05,0,17.57639132,0.22623954,1.61E-04,0.121617338,0,0,0.272695259,3.72E-04,0.265348432,0.150981831,0.251755794
2.7,0,0,2.839039746,4.68E-05,6566.901267,6.49E-04,0,20.7548875,0.289866893,3.10E-04,0.028279062,0,0,0.35260833,0,0.185143524,0.842654264,0.25299929
2.87,0,0,4.106357557,2.58E-05,18745.03933,4.53E-04,0,26.45423188,0.272204392,2.78E-04,0.055573156,0,0,0.311037707,7.46E-05,0.209871638,0.819555837,0.205968082
4.96,30832.56,0,6.859154342,9.46E-06,49777.86137,4.51E-05,0,20.08368796,0.233377147,2.75E-04,0.171963236,0,0,0.254453543,2.33E-04,0.294076459,0.133659741,0.198765441
2.74,30811,0,5.80256616,1.82E-05,43589.47839,5.87E-05,0,17.57639132,0.22623954,1.61E-04,0.121617338,0,0,0.272695259,3.72E-04,0.265348432,0.150981831,0.251755794
2.96,0,0,6.029760824,1.53E-05,38786.13207,3.03E-04,0,28.07403392,0.184801093,1.76E-04,0.121479509,0,0,0.407147835,1.52E-04,0.219509721,0.507785902,0.172940231
2.98,0,0,7.537043355,2.16E-05,39403.52709,2.54E-04,0,28.78071905,0.16132204,1.51E-04,0.117640032,0,0,0.277763396,2.12E-04,0.206105207,0.43318552,0.220878939
3.26,3565.96,0.02195545,4.71022815,3.84E-05,27616.63302,5.83E-05,6.59E-05,30.60490642,0.138716504,2.06E-04,0.015021031,0,10472.20833,0.281487968,1.02E-05,0.143893161,0.426052899,0.414678053
3.35,30701.68,0,4.771352044,1.66E-05,43415.63166,1.97E-04,0,21.36806555,0.199752757,2.20E-04,0.255379727,0,0,0.173808174,1.29E-04,0.366144167,0.790595951,0.093064352
3.38,30726.28,0,6.752173195,6.47E-06,52894.77112,9.80E-05,0,25.38407799,0.208079818,3.21E-04,0.409734813,0,0,0.209276882,3.05E-04,0.356789313,0.402510895,0.14903085
3.89,30726.28,0,8.037400164,1.62E-05,56023.82521,8.14E-05,0,25.94625219,0.168534954,2.91E-04,0.402361823,0,0,0.162529014,1.81E-04,0.336858866,0.274858048,0.212460158
3.22,3551.68,0.045837181,4.048421419,3.74E-05,25490.75723,6.36E-05,1.07E-04,25.94625219,0.152201012,2.02E-04,0.067900116,1422,10565.70833,0.618879545,2.33E-05,0.21975908,0.426872363,0.247637381
3.72,3551.68,0.03635342,5.047324877,3.11E-05,23896.19063,5.99E-05,1.00E-04,24.46731829,0.145208346,2.78E-04,0.112388387,63,10568.70833,0.520735678,2.15E-05,0.24868905,0.469650524,0.20766779
4.28,3551.68,0.029537151,6.400921508,2.68E-05,29446.86401,5.71E-05,9.23E-05,25.40765385,0.102333127,2.29E-04,0.145934967,4,9311.875,0.302801818,1.79E-05,0.229499937,0.218753688,0.215395562
4.77,30991.6,0,8.721630608,2.04E-05,61878.02166,0,0,20.54961113,0.226831436,1.66E-04,0.150424677,0,0,0.573125577,9.47E-05,0.303797768,0.175307175,0.496965425
2.96,0,0,3.565951894,7.64E-06,7115.918333,0,0,8.877840559,0.284469469,5.55E-05,0.005771569,0,0,0.189184769,0,0.436320175,0,0.043598841
3.19,15375.84,0,5.622908087,1.15E-05,40781.29243,6.57E-05,0,17.57639132,0.23222735,4.53E-05,0.074951106,0,0,0.458891212,2.56E-04,0.240078293,0.092116333,0.120006568
3.48,31757.8,0,5.883711749,2.27E-05,39247.23041,4.46E-05,0,28.07403392,0.217046098,1.62E-04,0.0792308,0,0,0.205267803,1.29E-04,0.208217833,0.566265922,0.304331035
5.31,58133.28,0,7.909681342,1.07E-05,36294.84728,3.77E-05,0,31.4331205,0.191591461,2.55E-04,0.157731366,0,0,0.396562668,2.34E-04,0.273965023,0.296294379,0.274430394
5.62,56788.08,0,7.336734805,1.19E-05,35015.82443,1.30E-04,0,36.26758735,0.182403152,2.55E-04,0.561232771,0,0,0.386421826,4.48E-04,0.296830756,0.633872821,0.596977801
4.32,32037.24,0,5.429367732,2.67E-05,42307.01166,4.78E-05,0,29.47067499,0.20387572,1.40E-04,0.060396131,0,0,0.589759278,4.48E-04,0.668284021,0.969102363,0.209062911
7.92,0,0.004393331,14.12833322,2.16E-05,57796.85895,2.16E-05,2.41E-05,66.07820003,0.064065867,8.52E-05,0.130329509,0,1856.25,0.930375426,1.44E-05,0.272847607,0.651341345,1.106331211
6.41,1516.4,0.012126329,13.17972833,2.34E-05,54613.18097,1.72E-05,2.59E-05,55.76133412,0.069271867,9.18E-05,0.11039797,0,3986,0.422526087,2.98E-05,0.277188836,0.693620749,0.595659805
9.6,9853.92,0.07286823,11.34207107,3.21E-05,60051.01448,4.82E-06,1.45E-05,62.89724613,0.060928838,7.89E-05,0.044488114,32,12299.875,0.52246669,6.78E-06,0.195928841,0.511676809,0.8961252
8.46,0,0.004390021,19.04351849,1.72E-05,61696.63904,1.55E-05,2.16E-05,68.27118598,0.047731471,1.13E-04,0.139693741,0,721,0.61657959,9.06E-06,0.255033925,0.551544503,1.094293957
7.82,49843.52,0.008001776,19.62184967,1.48E-05,68496.31916,8.46E-06,2.10E-05,61.03928295,0.061623726,7.56E-05,0.122178785,0,1856.25,0.418158697,1.72E-05,0.27631889,0.499822061,0.784053437
7.92,0,0,16.5990931,1.49E-05,47752.58891,5.72E-05,0,50.76815597,0.083518994,1.43E-04,0.205829359,0,0,0.400049612,5.46E-05,0.238919313,0.541665116,0.550968652
7,2886.64,0.010665092,15.74183824,2.27E-05,39127.30703,2.11E-05,2.96E-05,45.95807501,0.052453869,1.27E-04,0.104340832,0,5201.25,0.328460914,2.16E-05,0.186953305,0.506327211,0.424765861
6.66,2886.64,0.010665092,15.74183824,2.27E-05,39127.30703,2.11E-05,2.96E-05,45.95807501,0.052453869,1.27E-04,0.104340832,0,5201.25,0.328460914,2.16E-05,0.186953305,0.506327211,0.424765861
7.44,0,0.011000074,13.58025954,3.27E-05,67596.69253,3.46E-06,3.74E-05,49.09922226,0.100595059,1.93E-04,0.137654562,0,4622.5,0.697664536,6.74E-06,0.551441336,0.403844002,1.10846962
9.31,0,0.011055584,17.48943721,2.14E-05,79838.68701,2.14E-06,3.16E-05,51.51136223,0.071877539,2.06E-04,0.13553268,0,2134.75,0.598403734,3.64E-06,0.470162654,0.280343122,1.398727969
9.88,0,0.01831521,13.42079989,3.12E-05,66619.1683,1.55E-06,2.41E-05,51.51136223,0.087967156,1.83E-04,0.079616638,0,10984.125,0.6415295,2.41E-06,0.464101305,0.33412271,1.359604467
9.05,0,0.01117487,14.37226353,2.53E-05,46306.59345,1.45E-06,2.41E-05,51.86832567,0.0878738,1.82E-04,0.104707986,0,10019.95833,0.773433723,1.80E-06,0.461821362,0.313658711,1.349357916
9.28,0,0.01117487,13.62128761,4.28E-05,42554.36171,1.61E-06,3.01E-05,51.86832567,0.093442017,1.82E-04,0.126126057,0,7797.916667,0.581279424,3.48E-06,0.460283295,0.319881698,1.793329862
9.28,0,0.01105785,14.14504821,3.98E-05,72110.47113,3.21E-06,3.23E-05,49.96089998,0.09745869,1.99E-04,0.182602207,0,4622.5,0.554990269,7.37E-06,0.521047914,0.379727995,1.545912096
8.72,0,0.01105785,14.14504821,3.98E-05,72110.47113,3.21E-06,3.23E-05,49.96089998,0.09745869,1.99E-04,0.182602207,0,4622.5,0.554990269,7.37E-06,0.521047914,0.379727995,1.545912096
8.59,0,0.011105553,15.26812933,4.29E-05,65124.65585,2.98E-06,2.73E-05,50.76230393,0.086448404,1.51E-04,0.223440446,0,4379.75,0.602916316,7.15E-06,0.465645196,0.348087893,1.787959865
9.06,0,0.011058663,13.35218813,3.99E-05,71232.12796,2.62E-05,3.41E-05,55.47259001,0.097337919,1.99E-04,0.173178785,0,4622.5,0.625728348,7.93E-06,0.531670411,0.477451286,1.233498803
7.8,0,0.011058663,13.35218813,3.99E-05,71232.12796,2.62E-05,3.41E-05,55.47259001,0.097337919,1.99E-04,0.173178785,0,4622.5,0.625728348,7.93E-06,0.531670411,0.477451286,1.233498803
9.2,0,0.011104922,14.07255674,4.21E-05,58884.67332,2.87E-06,2.62E-05,50.76230393,0.093707556,1.67E-04,0.213806801,0,4379.75,0.555248817,8.24E-06,0.447878105,0.348087893,1.851715312
8.97,0,0.04276646,11.42537827,5.57E-05,61676.61051,1.55E-06,2.93E-05,50.36860119,0.060742429,1.73E-04,0.063348292,0,9046.291667,0.567604048,2.85E-06,0.497956901,0.364830498,1.475961103
9.53,0,0.011124825,17.17072022,2.43E-05,55760.38794,0,3.58E-05,50.36860119,0.083579567,2.05E-04,0.259074493,0,2431.75,0.549521841,5.73E-06,0.540292235,0.320015519,1.55737816
9.53,0,0.048526968,12.23352991,3.63E-05,88175.27872,3.60E-06,2.87E-05,50.76230393,0.078495725,1.60E-04,0.047831363,0,11440.83333,0.664128708,2.09E-06,0.445963561,0.354015731,1.078077329
2.46,0,0,5.257258319,1.36E-05,31648.17535,3.31E-04,0,30.78071905,0.208717639,1.28E-04,0.180171908,0,0,0.553745518,0,0.31212788,0.179272882,0.295497472
4.11,0,0,5.257258319,1.36E-05,31648.17535,3.31E-04,0,30.78071905,0.208717639,1.28E-04,0.180171908,0,0,0.553745518,0,0.31212788,0.179272882,0.295497472
4.72,0,0,3.03770894,3.04E-05,30676.06389,5.07E-04,0,18.40226335,0.226028776,2.93E-04,0.199196251,0,0,0.214358837,0.002304744,0.329340419,0.442971052,0.187782836
5.1,0,0,3.751099924,1.71E-05,29644.13417,3.58E-04,0,17.01955001,0.253499074,4.86E-04,0.235130495,0,0,0.202154765,0,0.372645984,0.209679184,0.18460005
3.27,0,0,3.751099924,1.71E-05,29644.13417,3.58E-04,0,17.01955001,0.253499074,4.86E-04,0.235130495,0,0,0.202154765,0,0.372645984,0.209679184,0.18460005
2.14,0,0,4.500864436,1.06E-05,28242.05087,2.54E-04,0,19.57639132,0.235439344,1.70E-04,0.27679758,0,0,0.262856953,0,0.391390058,0.177427766,0.238750512
4.17,0,0,3.957734346,3.37E-05,32164.59984,3.66E-04,0,19.01955001,0.23688088,2.38E-04,0.182444135,0,0,0.219138745,0,0.268376988,0.208214422,0.322900622
3.64,44736.64,0.035242039,4.104545897,5.67E-05,25663.46505,4.33E-04,6.39E-05,28.78071905,0.148130568,2.39E-04,0.042852171,0,8198.958333,0.421306132,2.97E-04,0.161277568,0.560412754,0.65845779
6.12,16827.44,0.092842574,3.725011336,3.96E-05,26912.73676,1.16E-04,1.29E-04,27.40765385,0.080943754,1.51E-04,0.019500706,1787.5,15866.5,0.369009403,3.51E-05,0.188169455,0.346640503,0.283063191
7.19,16832,0.069584627,4.665157546,3.10E-05,27268.76186,1.05E-04,1.22E-04,25.83520296,0.076066793,1.50E-04,0.039516428,77,15866.5,0.477366925,1.77E-05,0.205272112,0.305830902,0.217710781
6.44,16832,0.069584627,4.665157546,3.10E-05,27268.76186,1.05E-04,1.22E-04,25.83520296,0.076066793,1.50E-04,0.039516428,77,15866.5,0.477366925,1.77E-05,0.205272112,0.305830902,0.217710781
5.34,16830.48,0.085772775,4.626738363,3.56E-05,36052.3931,1.05E-04,1.26E-04,27.83520296,0.074817166,1.50E-04,0.019054107,89,15851.5,0.434044922,3.34E-05,0.141101364,0.293572277,0.338320714
7.46,16835.04,0.061886549,5.688778494,2.68E-05,30694.61492,9.50E-05,1.20E-04,26.23866588,0.064882053,1.44E-04,0.036504175,49,15064.83333,0.420660889,2.52E-05,0.15582914,0.255724659,0.214266846
4.48,16835.04,0.061886549,5.688778494,2.68E-05,30694.61492,9.50E-05,1.20E-04,26.23866588,0.064882053,1.44E-04,0.036504175,49,15064.83333,0.420660889,2.52E-05,0.15582914,0.255724659,0.214266846
