Activity,TS[3]_MN_F_AB_nCi_2_NS13_H_A_LGP[3-6]_e_MAS,TS[5]_P2_F_AB_nCi_2_SS12_H_n_C_LGP[3-8]_ec_MAS,AC[1]_SD_F_AB_nCi_2_MP7_H_D_LGP[3-5]_psa_MAS,TIC_F_AB_nCi_2_SS3_n_A_SRW_e_MAS,TS[5]_HM_F_BB_nCi_2_MP10_H_C_LGP[1-4]_hx_MAS,GV[2]_V_F_AB_nCi_2_SS14_n_X_LGP[1-3]_e_MAS,AC[6]_Q3_F_BB_nCi_2_SS5_H_A_LGP[2-3]_hx_MAS,GV[3]_N2_F_BB_nCi_2_SS11_X_LGP[4-7]_hx_MAS
6.11,31923.56,5.735238397,0.000612,38.95754329,0.169111048,1.097662583,0.922180753,0.352079122
9,195805.04,6.742336934,1.94E-05,45.49134181,0.193202863,0.423217189,1.53162344,0.98231128
7.64,30832.56,6.859154342,4.51E-05,20.08368796,0.233377147,0.294076459,0.133659741,0.198765441
7.31,30965.28,6.918005193,2.99E-05,20.54961113,0.231426986,0.254696407,0.079028733,0.193884226
7.3,0,10.2706963,1.59E-05,32.98044999,0.09160993,0.185919851,0.48682923,0.513293285
8.54,19311.36,15.18923339,2.36E-05,55.34141974,0.069374171,0.41308663,0.697945548,0.599346893
8.52,0,11.43338775,2.20E-05,41.50080992,0.114215888,0.227458118,0.363325615,0.645089794
8.92,0,10.36746893,2.44E-05,37.03775472,0.117790644,0.217725852,0.499148554,0.518119104
8.92,0,12.4861563,3.09E-05,44.64278298,0.106922007,0.206598636,0.449433639,1.069421819
8.96,0,10.30151643,1.08E-05,38.77395325,0.021840616,0.18389946,0.409070463,0.403046551
8.55,30509.44,10.86102377,8.16E-05,43.15278265,0.116976369,0.226677667,0.529051952,0.487543266
9.22,0,11.03261937,2.19E-05,37.94340066,0.120005899,0.19253164,0.386653238,0.903484086
8,23797.12,8.641883632,1.41E-05,47.96089998,0.080978122,0.129880731,0.42614631,1.245877141
8.11,23801.68,10.54743933,1.42E-05,50.87733186,0.0804383,0.157611861,0.484327282,1.003045401
7.92,24108.72,9.723297273,4.21E-06,41.5409856,0.074675546,0.118093358,0.186994023,0.28967269
8.15,0,9.249486543,5.15E-05,38.55223172,0.095106653,0.416959169,0.548634634,0.625976289
5.55,0,2.890286184,0.000154,15.70950594,0.316884566,0.262470278,0.409713721,0.148130883
6.07,0,4.063126259,0.000369,18.40226335,0.298784891,0.279149093,0.205220768,0.177833535
6.37,3553.2,4.597376372,4.86E-05,21.38115197,0.146157792,0.1641918,0.061291266,0.340711174
6.7,30811,5.80256616,5.87E-05,17.57639132,0.22623954,0.265348432,0.150981831,0.251755794
2.7,0,2.839039746,0.000649,20.7548875,0.289866893,0.185143524,0.842654264,0.25299929
2.87,0,4.106357557,0.000453,26.45423188,0.272204392,0.209871638,0.819555837,0.205968082
4.96,30832.56,6.859154342,4.51E-05,20.08368796,0.233377147,0.294076459,0.133659741,0.198765441
2.74,30811,5.80256616,5.87E-05,17.57639132,0.22623954,0.265348432,0.150981831,0.251755794
2.96,0,6.029760824,0.000303,28.07403392,0.184801093,0.219509721,0.507785902,0.172940231
2.98,0,7.537043355,0.000254,28.78071905,0.16132204,0.206105207,0.43318552,0.220878939
3.26,3565.96,4.71022815,5.83E-05,30.60490642,0.138716504,0.143893161,0.426052899,0.414678053
3.35,30701.68,4.771352044,0.000197,21.36806555,0.199752757,0.366144167,0.790595951,0.093064352
3.38,30726.28,6.752173195,9.80E-05,25.38407799,0.208079818,0.356789313,0.402510895,0.14903085
3.89,30726.28,8.037400164,8.14E-05,25.94625219,0.168534954,0.336858866,0.274858048,0.212460158
3.22,3551.68,4.048421419,6.36E-05,25.94625219,0.152201012,0.21975908,0.426872363,0.247637381
3.72,3551.68,5.047324877,5.99E-05,24.46731829,0.145208346,0.24868905,0.469650524,0.20766779
4.28,3551.68,6.400921508,5.71E-05,25.40765385,0.102333127,0.229499937,0.218753688,0.215395562
4.77,30991.6,8.721630608,0,20.54961113,0.226831436,0.303797768,0.175307175,0.496965425
2.96,0,3.565951894,0,8.877840559,0.284469469,0.436320175,0,0.043598841
3.19,15375.84,5.622908087,6.57E-05,17.57639132,0.23222735,0.240078293,0.092116333,0.120006568
3.48,31757.8,5.883711749,4.46E-05,28.07403392,0.217046098,0.208217833,0.566265922,0.304331035
5.31,58133.28,7.909681342,3.77E-05,31.4331205,0.191591461,0.273965023,0.296294379,0.274430394
5.62,56788.08,7.336734805,0.00013,36.26758735,0.182403152,0.296830756,0.633872821,0.596977801
4.32,32037.24,5.429367732,4.78E-05,29.47067499,0.20387572,0.668284021,0.969102363,0.209062911
7.92,0,14.12833322,2.16E-05,66.07820003,0.064065867,0.272847607,0.651341345,1.106331211
6.41,1516.4,13.17972833,1.72E-05,55.76133412,0.069271867,0.277188836,0.693620749,0.595659805
9.6,9853.92,11.34207107,4.82E-06,62.89724613,0.060928838,0.195928841,0.511676809,0.8961252
8.46,0,19.04351849,1.55E-05,68.27118598,0.047731471,0.255033925,0.551544503,1.094293957
7.82,49843.52,19.62184967,8.46E-06,61.03928295,0.061623726,0.27631889,0.499822061,0.784053437
7.92,0,16.5990931,5.72E-05,50.76815597,0.083518994,0.238919313,0.541665116,0.550968652
7,2886.64,15.74183824,2.11E-05,45.95807501,0.052453869,0.186953305,0.506327211,0.424765861
6.66,2886.64,15.74183824,2.11E-05,45.95807501,0.052453869,0.186953305,0.506327211,0.424765861
7.44,0,13.58025954,3.46E-06,49.09922226,0.100595059,0.551441336,0.403844002,1.10846962
9.31,0,17.48943721,2.14E-06,51.51136223,0.071877539,0.470162654,0.280343122,1.398727969
9.88,0,13.42079989,1.55E-06,51.51136223,0.087967156,0.464101305,0.33412271,1.359604467
9.05,0,14.37226353,1.45E-06,51.86832567,0.0878738,0.461821362,0.313658711,1.349357916
9.28,0,13.62128761,1.61E-06,51.86832567,0.093442017,0.460283295,0.319881698,1.793329862
9.28,0,14.14504821,3.21E-06,49.96089998,0.09745869,0.521047914,0.379727995,1.545912096
8.72,0,14.14504821,3.21E-06,49.96089998,0.09745869,0.521047914,0.379727995,1.545912096
8.59,0,15.26812933,2.98E-06,50.76230393,0.086448404,0.465645196,0.348087893,1.787959865
9.06,0,13.35218813,2.62E-05,55.47259001,0.097337919,0.531670411,0.477451286,1.233498803
7.8,0,13.35218813,2.62E-05,55.47259001,0.097337919,0.531670411,0.477451286,1.233498803
9.2,0,14.07255674,2.87E-06,50.76230393,0.093707556,0.447878105,0.348087893,1.851715312
8.97,0,11.42537827,1.55E-06,50.36860119,0.060742429,0.497956901,0.364830498,1.475961103
9.53,0,17.17072022,0,50.36860119,0.083579567,0.540292235,0.320015519,1.55737816
9.53,0,12.23352991,3.60E-06,50.76230393,0.078495725,0.445963561,0.354015731,1.078077329
2.46,0,5.257258319,0.000331,30.78071905,0.208717639,0.31212788,0.179272882,0.295497472
4.11,0,5.257258319,0.000331,30.78071905,0.208717639,0.31212788,0.179272882,0.295497472
4.72,0,3.03770894,0.000507,18.40226335,0.226028776,0.329340419,0.442971052,0.187782836
5.1,0,3.751099924,0.000358,17.01955001,0.253499074,0.372645984,0.209679184,0.18460005
3.27,0,3.751099924,0.000358,17.01955001,0.253499074,0.372645984,0.209679184,0.18460005
2.14,0,4.500864436,0.000254,19.57639132,0.235439344,0.391390058,0.177427766,0.238750512
4.17,0,3.957734346,0.000366,19.01955001,0.23688088,0.268376988,0.208214422,0.322900622
3.64,44736.64,4.104545897,0.000433,28.78071905,0.148130568,0.161277568,0.560412754,0.65845779
6.12,16827.44,3.725011336,0.000116,27.40765385,0.080943754,0.188169455,0.346640503,0.283063191
7.19,16832,4.665157546,0.000105,25.83520296,0.076066793,0.205272112,0.305830902,0.217710781
6.44,16832,4.665157546,0.000105,25.83520296,0.076066793,0.205272112,0.305830902,0.217710781
5.34,16830.48,4.626738363,0.000105,27.83520296,0.074817166,0.141101364,0.293572277,0.338320714
7.46,16835.04,5.688778494,9.50E-05,26.23866588,0.064882053,0.15582914,0.255724659,0.214266846
4.48,16835.04,5.688778494,9.50E-05,26.23866588,0.064882053,0.15582914,0.255724659,0.214266846
